"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Gambia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.33,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Gambia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.43,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guinea-Bissau","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.93,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guinea-Bissau","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-2.406,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Equatorial Guinea","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2006M12",-0.892,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Equatorial Guinea","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2006M12",-1.353,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Greece","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.48,,"Frequency: Monthly",
"Greece","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.497,,"Frequency: Monthly",
"Grenada","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2003M12",0.376,,"Frequency: Monthly",
"Grenada","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2003M12",0.384,,"Frequency: Monthly",
"Guatemala","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.11,,"Frequency: Monthly",
