"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_source.label"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2025",173.96,"Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2025",146.92,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2024",124.51,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2024",130.17,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2024",129.89,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2024",132.19,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2024",103.25,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2024",136.58,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 6. Health","2024",113.98,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 7. Transport","2024",121.37,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 8. Communication","2024",160.22,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 9. Recreation and culture","2024",89.59,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 10. Education","2024",100.61,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 11. Restaurants and hotels","2024",139.12,"Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 12. Miscellaneous goods and services","2024",152.81,"Repository: International Monetary Fund"
"Australia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2025",99.05,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: General - Individual consumption expenditure of households","2025",100.03,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 1. Food and non-alcoholic beverages","2025",131.8,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025",120.44,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 3. Clothing and footwear","2025",107.87,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025",140.1,"Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP (2017 = 100)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025",118.43,"Repository: International Monetary Fund"
