"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",4683.351,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2024",6899.952,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2024",7506.232,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2024",5514.582,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2024",8124.599,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2024",5156.613,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2024",3788.394,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2024",5581.417,,,"Currency: CHE - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Chile","HIES - Supplemental Income Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2024",966377.602,,,"Currency: CHL - Chilean peso (CLP)","Repository: ILO-STATISTICS - Micro data processing"
"Chile","HIES - Supplemental Income Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2024",2078.786,,,"Currency: CHL - Chilean peso (CLP)","Repository: ILO-STATISTICS - Micro data processing"
