"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",35.08,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",37.93,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",32.15,,,"Repository: ILO-STATISTICS - Micro data processing"
"Georgia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",41.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Georgia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",44.3,,,"Repository: ILO-STATISTICS - Micro data processing"
"Georgia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",38.69,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Total","2024",39.8,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Male","2024",40.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Mean weekly hours actually worked per employee by sex","Female","2024",38.45,,,"Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2023",44.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2023",47.3,,,"Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2023",36.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guinea-Bissau","LFS - Integrated Regional Survey on Employment and Informal Sector","Mean weekly hours actually worked per employee by sex","Total","2018",42.31,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guinea-Bissau","LFS - Integrated Regional Survey on Employment and Informal Sector","Mean weekly hours actually worked per employee by sex","Male","2018",43.79,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guinea-Bissau","LFS - Integrated Regional Survey on Employment and Informal Sector","Mean weekly hours actually worked per employee by sex","Female","2018",37.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",37.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",38.99,,,"Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",36.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2023",42.06,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2023",44.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2023",39.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Mean weekly hours actually worked per employee by sex","Total","2024",45.77,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Mean weekly hours actually worked per employee by sex","Male","2024",48.9,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Mean weekly hours actually worked per employee by sex","Female","2024",40.49,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guyana","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2019",45.04,,,"Repository: ILO-STATISTICS - Micro data processing"
