"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Gabon","CPS - Consumer Price Index, Africans","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M08",5.652,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"United Kingdom of Great Britain and Northern Ireland","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.618,,"Frequency: Monthly",
"United Kingdom of Great Britain and Northern Ireland","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-1.481,,"Frequency: Monthly",
"Georgia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M03",13.946,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Ghana","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",16.981,,"Frequency: Monthly",
"Ghana","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",6.835,,"Frequency: Monthly",
"Gibraltar","CPS - Index of Retail Prices","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","1997M12",3.026,,"Frequency: Monthly",
"Guinea","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",8.974,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guadeloupe","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.619,,"Frequency: Monthly",
"Guadeloupe","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.413,,"Frequency: Monthly",
"Gambia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",6.9,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Gambia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",8.32,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Guinea-Bissau","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.094,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
